Author,Title,URL,Publish Date,Views,Rating,Keywords,Streams,FPS,Itag,Process
K3soju,10 HP COMEBACK WITH 5 MUTANT CARRIES!! | Teamfight Tactics Patch 11.24,https://www.youtube.com/watch?v=M9oORkP6-6U,2022-01-01,71701,,"['tft best moments', 'tft funny moments', 'tft challenger', 'tft ranked', 'tft rank 1', 'tft guide', 'tft how to', 'tft tutorial', 'k3soju', 'tft k3soju', 'tft soju', 'soju', 'C9 Soju', 'best tft player', 'tft tierlist', 'tft tier-list', 'teamfight tactics', 'tft best comps', 'tft set 6', 'set 6', 'tft season 6', 'tft set 6 guides', 'tft set 6 tierlist', 'teamfight tactics set 6', 'tft tips and tricks', 'tft set 6 meta', 'tft gizmos and gadgets', 'tft mutant', 'tft malzahar', 'tft tahm kench', 'set 6 mutant', 'tft kench']","<Stream: itag=""397"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""av01.0.04M.08"" progressive=""False"" type=""video"">",30,397,TRUE
K3soju,CHEMTECH JAYCE FRONTLINE TANK CARRY SLAMS DOWN ON ENEMIES!! | Teamfight Tactics Patch 11.24,https://www.youtube.com/watch?v=C7ZZV-S4Qeg,2021-12-31,69328,,"['tft best moments', 'tft funny moments', 'tft challenger', 'tft ranked', 'tft rank 1', 'tft guide', 'tft how to', 'tft tutorial', 'k3soju', 'tft k3soju', 'tft soju', 'soju', 'C9 Soju', 'best tft player', 'tft tierlist', 'tft tier-list', 'teamfight tactics', 'tft best comps', 'tft set 6', 'set 6', 'tft season 6', 'tft set 6 guides', 'tft set 6 tierlist', 'teamfight tactics set 6', 'tft tips and tricks', 'tft set 6 meta', 'tft gizmos and gadgets', 'tft jayce', 'set 6 jayce', 'arcane jayce', 'tft chemtech', 'tft transformer']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135,TRUE
K3soju,5 SYNDICATE AKALI CARRY SHREDS ENTIRE ENEMY TEAM 1V9!! | Teamfight Tactics Patch 11.24,https://www.youtube.com/watch?v=5l4jZEvPRQg,2021-12-29,67724,,"['tft best moments', 'tft funny moments', 'tft challenger', 'tft ranked', 'tft rank 1', 'tft guide', 'tft how to', 'tft tutorial', 'k3soju', 'tft k3soju', 'tft soju', 'soju', 'C9 Soju', 'best tft player', 'tft tierlist', 'tft tier-list', 'teamfight tactics', 'tft best comps', 'tft set 6', 'set 6', 'tft season 6', 'tft set 6 guides', 'tft set 6 tierlist', 'teamfight tactics set 6', 'tft tips and tricks', 'tft set 6 meta', 'tft gizmos and gadgets', 'tft akali', 'set 6 akali', 'tft syndicate', 'tft assassin', 'set 6 assassin']","<Stream: itag=""397"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""av01.0.04M.08"" progressive=""False"" type=""video"">",30,397,TRUE
K3soju,6 SCHOLAR YUUMI INFINITE MANA TO ULT STUN AND SHIELD WHOLE TEAM!! | Teamfight Tactics Patch 11.24,https://www.youtube.com/watch?v=vovBDd7IJyA,2021-12-27,132944,,"['tft best moments', 'tft funny moments', 'tft challenger', 'tft ranked', 'tft rank 1', 'tft guide', 'tft how to', 'tft tutorial', 'k3soju', 'tft k3soju', 'tft soju', 'soju', 'C9 Soju', 'best tft player', 'tft tierlist', 'tft tier-list', 'teamfight tactics', 'tft best comps', 'tft set 6', 'set 6', 'tft season 6', 'tft set 6 guides', 'tft set 6 tierlist', 'teamfight tactics set 6', 'tft tips and tricks', 'tft set 6 meta', 'tft gizmos and gadgets', 'tft yuumi', 'tft 6 scholar', 'set 6 yuumi', 'tft academy', 'tft cuddly']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135,TRUE
K3soju,FULL AP CRIT MALZAHAR CARRY WITH 5 MUTANT INFINITE MANA BUFF!! | Teamfight Tactics Patch 11.23,https://www.youtube.com/watch?v=p3kzdvpAURs,2021-12-26,103190,,"['tft best moments', 'tft funny moments', 'tft challenger', 'tft ranked', 'tft rank 1', 'tft guide', 'tft how to', 'tft tutorial', 'k3soju', 'tft k3soju', 'tft soju', 'soju', 'C9 Soju', 'best tft player', 'tft tierlist', 'tft tier-list', 'teamfight tactics', 'tft best comps', 'tft set 6', 'set 6', 'tft season 6', 'tft set 6 guides', 'tft set 6 tierlist', 'teamfight tactics set 6', 'tft tips and tricks', 'tft set 6 meta', 'tft gizmos and gadgets', 'tft malz', 'tft malzahar', 'set 6 malz', 'tft mutant', 'tft arcanist', 'set 6 mutant']","<Stream: itag=""397"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""av01.0.04M.08"" progressive=""False"" type=""video"">",30,397,TRUE
K3soju,FULL AD CLAPIO SLAMS DOWN AND SMACKS ENTIRE ENEMY TEAM!! | Teamfight Tactics Patch 11.23,https://www.youtube.com/watch?v=4r5CSntBlQU,2021-12-26,86350,,"['tft best moments', 'tft funny moments', 'tft challenger', 'tft ranked', 'tft rank 1', 'tft guide', 'tft how to', 'tft tutorial', 'k3soju', 'tft k3soju', 'tft soju', 'soju', 'C9 Soju', 'best tft player', 'tft tierlist', 'tft tier-list', 'teamfight tactics', 'tft best comps', 'tft set 6', 'set 6', 'tft season 6', 'tft set 6 guides', 'tft set 6 tierlist', 'teamfight tactics set 6', 'tft tips and tricks', 'tft set 6 meta', 'tft gizmos and gadgets', 'tft clapio', 'set 6 clapio', 'tft galio', 'set 6 galio', 'tft ad galio', 'clapio']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135,TRUE
K3soju,3 STAR QUINN BACKLINE CARRY BLINDS ENTIRE ENEMY TEAM FOR 1V9!! | Teamfight Tactics Patch 11.23,https://www.youtube.com/watch?v=LLOeqwvMGkw,2021-12-24,61565,,"['tft best moments', 'tft funny moments', 'tft challenger', 'tft ranked', 'tft rank 1', 'tft guide', 'tft how to', 'tft tutorial', 'k3soju', 'tft k3soju', 'tft soju', 'soju', 'C9 Soju', 'best tft player', 'tft tierlist', 'tft tier-list', 'teamfight tactics', 'tft best comps', 'tft set 6', 'set 6', 'tft season 6', 'tft set 6 guides', 'tft set 6 tierlist', 'teamfight tactics set 6', 'tft tips and tricks', 'tft set 6 meta', 'tft gizmos and gadgets', 'tft quinn', 'set 6 quinn', 'tft mercenary', 'tft warwick', 'set 6 warwick']","<Stream: itag=""397"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""av01.0.04M.08"" progressive=""False"" type=""video"">",30,397,TRUE
K3soju,3 STAR YONE CARRY WITH 6 CHALLENGER GIGA-ATK SPD PER KILL!! | Teamfight Tactics Patch 11.23,https://www.youtube.com/watch?v=k29SaLn_xNQ,2021-12-23,76834,,"['tft best moments', 'tft funny moments', 'tft challenger', 'tft ranked', 'tft rank 1', 'tft guide', 'tft how to', 'tft tutorial', 'k3soju', 'tft k3soju', 'tft soju', 'soju', 'C9 Soju', 'best tft player', 'tft tierlist', 'tft tier-list', 'teamfight tactics', 'tft best comps', 'tft set 6', 'set 6', 'tft season 6', 'tft set 6 guides', 'tft set 6 tierlist', 'teamfight tactics set 6', 'tft tips and tricks', 'tft set 6 meta', 'tft gizmos and gadgets', 'tft yone', 'set 6 yone', 'tft yone 3', 'tft academy', 'tft 6 challenger']","<Stream: itag=""397"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""av01.0.04M.08"" progressive=""False"" type=""video"">",30,397,TRUE
K3soju,3 STAR WARWICK SHIV CARRY IS INFINITE AWOOOOOOO!! | Teamfight Tactics Patch 11.23,https://www.youtube.com/watch?v=akv1WgCXrfs,2021-12-22,103088,,"['tft best moments', 'tft funny moments', 'tft challenger', 'tft ranked', 'tft rank 1', 'tft guide', 'tft how to', 'tft tutorial', 'k3soju', 'tft k3soju', 'tft soju', 'soju', 'C9 Soju', 'best tft player', 'tft tierlist', 'tft tier-list', 'teamfight tactics', 'tft best comps', 'tft set 6', 'set 6', 'tft season 6', 'tft set 6 guides', 'tft set 6 tierlist', 'teamfight tactics set 6', 'tft tips and tricks', 'tft set 6 meta', 'tft gizmos and gadgets', 'tft warwick', 'set 6 warwick', 'tft warwick 3', 'tft shiv warwick', 'tft chemtech']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135,TRUE
K3soju,8 CHALLENGER KAI'SA CARRY WITH RICH GET RICHER FAST 9!! | Teamfight Tactics Patch 11.23,https://www.youtube.com/watch?v=G0vg8sTcQ0M,2021-12-21,97470,,"['tft best moments', 'tft funny moments', 'tft challenger', 'tft ranked', 'tft rank 1', 'tft guide', 'tft how to', 'tft tutorial', 'k3soju', 'tft k3soju', 'tft soju', 'soju', 'C9 Soju', 'best tft player', 'tft tierlist', 'tft tier-list', 'teamfight tactics', 'tft best comps', 'tft set 6', 'set 6', 'tft season 6', 'tft set 6 guides', 'tft set 6 tierlist', 'teamfight tactics set 6', 'tft tips and tricks', 'tft set 6 meta', 'tft gizmos and gadgets', 'tft kaisa', 'tft 8 challenger', 'tft yone', 'set 6 kaisa', 'set 6 yone', 'tft mutant']","<Stream: itag=""397"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""av01.0.04M.08"" progressive=""False"" type=""video"">",30,397,TRUE
