Author,Title,URL,Publish Date,Views,Rating,Keywords,Streams,FPS,Itag
BoxBox,BoxBox finds a NEW RIVEN MECHANIC,https://www.youtube.com/watch?v=-DvuOZ8JPhs,2021-11-20,181732,,"['boxbox', 'league of legends', 'league', 'lol', 'boxbox riven', 'boxbox league', 'funny', 'funny tft', 'boxbox otv', 'boxbox justfriends', 'boxbox cosplay', 'boxbox cosplaying', 'riven cosplay', 'challenger league', 'set 5 tft', 'set 5 tft reckoning', 'boxbox league of legends', 'riven outplays', 'challenger montage', 'boxbox twitch highlights', 'boxbox vod', 'riven boxbox', 'challenger riven', 'riven montage', 'riven combos', 'riven commentary', 'riven guide', 'riven highlights', 'riven combos boxbox', 'riven gameplay', 'riven top']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135
BoxBox,Warwick 3 and BoxBox have an inseparable bond,https://www.youtube.com/watch?v=mp34CnLbA8Q,2021-11-19,223178,,"['boxbox', 'league of legends', 'league', 'lol', 'boxbox riven', 'boxbox league', 'funny', 'funny tft', 'boxbox otv', 'boxbox justfriends', 'boxbox cosplay', 'boxbox cosplaying', 'riven cosplay', 'challenger league', 'set 5 tft', 'set 5 tft reckoning', 'boxbox league of legends', 'riven outplays', 'challenger montage', 'boxbox twitch highlights', 'boxbox vod', 'riven boxbox', 'challenger riven', 'riven montage', 'riven combos', 'riven commentary', 'riven guide', 'riven highlights', 'riven combos boxbox', 'riven gameplay', 'riven top']","<Stream: itag=""397"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""av01.0.04M.08"" progressive=""False"" type=""video"">",30,397
BoxBox,My Yone 3 should've end the game until Toast did this...,https://www.youtube.com/watch?v=tIqRkWjjB8g,2021-11-18,152468,,"['boxbox', 'league of legends', 'league', 'boxbox riven', 'boxbox league', 'funny', 'funny tft', 'boxbox otv', 'boxbox justfriends', 'boxbox cosplay', 'boxbox cosplaying', 'riven cosplay', 'challenger league', 'boxbox league of legends', 'challenger montage', 'boxbox twitch highlights', 'boxbox vod', 'riven boxbox', 'challenger riven', 'riven montage', 'riven commentary', 'riven guide', 'riven gameplay', 'riven top', 'set 6 tft', 'set 6 gizmos and gadgets', 'tft augments', 'offlinetv tft', 'otv tft challenge', 'tft race', 'set 6']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135
BoxBox,Why Toast should NEVER be allowed to play Fiddlesticks,https://www.youtube.com/watch?v=MwVBqjWtuX0,2021-11-17,135260,,"['boxbox', 'league of legends', 'league', 'boxbox riven', 'boxbox league', 'funny', 'funny tft', 'boxbox otv', 'boxbox justfriends', 'boxbox cosplay', 'boxbox cosplaying', 'riven cosplay', 'challenger league', 'boxbox league of legends', 'challenger montage', 'boxbox twitch highlights', 'boxbox vod', 'riven boxbox', 'challenger riven', 'riven montage', 'riven commentary', 'riven guide', 'riven gameplay', 'riven top', 'set 6 tft', 'set 6 gizmos and gadgets', 'tft augments', 'offlinetv tft', 'otv tft challenge', 'tft race', 'set 6']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135
BoxBox,"MACHINE GUN URGOT 3 ATTACKS 10,000K TIMES A SECOND",https://www.youtube.com/watch?v=jDUozg3jPGY,2021-11-16,255962,,"['boxbox', 'league of legends', 'league', 'boxbox riven', 'boxbox league', 'funny', 'funny tft', 'boxbox otv', 'boxbox justfriends', 'boxbox cosplay', 'boxbox cosplaying', 'riven cosplay', 'challenger league', 'boxbox league of legends', 'challenger montage', 'boxbox twitch highlights', 'boxbox vod', 'riven boxbox', 'challenger riven', 'riven montage', 'riven commentary', 'riven guide', 'riven gameplay', 'riven top', 'set 6 tft', 'set 6 gizmos and gadgets', 'tft augments', 'offlinetv tft', 'otv tft challenge', 'tft race', 'set 6']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135
BoxBox,Mercenary 7 = more completed items than slots (over 25 COMPLETED ITEMS),https://www.youtube.com/watch?v=XtgfmZgJz8k,2021-11-15,459060,,"['boxbox', 'league of legends', 'league', 'lol', 'boxbox riven', 'boxbox league', 'funny', 'funny tft', 'boxbox otv', 'boxbox justfriends', 'boxbox cosplay', 'boxbox cosplaying', 'riven cosplay', 'challenger league', 'set 5 tft', 'set 5 tft reckoning', 'boxbox league of legends', 'riven outplays', 'challenger montage', 'boxbox twitch highlights', 'boxbox vod', 'riven boxbox', 'challenger riven', 'riven montage', 'riven combos', 'riven commentary', 'riven guide', 'riven highlights', 'riven combos boxbox', 'riven gameplay', 'riven top']","<Stream: itag=""397"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""av01.0.04M.08"" progressive=""False"" type=""video"">",30,397
BoxBox,OFFLINETV was not ready for my 300 CDR Riven,https://www.youtube.com/watch?v=JihLEhvf0fU,2021-11-14,164201,,"['boxbox', 'league of legends', 'league', 'lol', 'boxbox riven', 'boxbox league', 'funny', 'funny tft', 'boxbox otv', 'boxbox justfriends', 'boxbox cosplay', 'boxbox cosplaying', 'riven cosplay', 'challenger league', 'set 5 tft', 'set 5 tft reckoning', 'boxbox league of legends', 'riven outplays', 'challenger montage', 'boxbox twitch highlights', 'boxbox vod', 'riven boxbox', 'challenger riven', 'riven montage', 'riven combos', 'riven commentary', 'riven guide', 'riven highlights', 'riven combos boxbox', 'riven gameplay', 'riven top']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""25fps"" vcodec=""avc1.4d401e"" progressive=""False"" type=""video"">",25,135
BoxBox,My 3-Star King Sion vs Shiphtur's 3-Star Luxzilla,https://www.youtube.com/watch?v=snukADVEjiU,2021-11-13,167106,,"['boxbox', 'league of legends', 'league', 'boxbox riven', 'boxbox league', 'funny', 'funny tft', 'boxbox otv', 'boxbox justfriends', 'boxbox cosplay', 'boxbox cosplaying', 'riven cosplay', 'challenger league', 'boxbox league of legends', 'challenger montage', 'boxbox twitch highlights', 'boxbox vod', 'riven boxbox', 'challenger riven', 'riven montage', 'riven commentary', 'riven guide', 'riven gameplay', 'riven top', 'set 6 tft', 'set 6 gizmos and gadgets', 'tft augments', 'offlinetv tft', 'otv tft challenge', 'tft race', 'set 6']","<Stream: itag=""397"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""av01.0.04M.08"" progressive=""False"" type=""video"">",30,397
BoxBox,JHIN 3 IS BROKEN! 1 SHOT = 5 KILLS,https://www.youtube.com/watch?v=H84dOtreflY,2021-11-12,252329,,"['boxbox', 'league of legends', 'league', 'boxbox riven', 'boxbox league', 'funny', 'funny tft', 'boxbox otv', 'boxbox justfriends', 'boxbox cosplay', 'boxbox cosplaying', 'riven cosplay', 'challenger league', 'boxbox league of legends', 'challenger montage', 'boxbox twitch highlights', 'boxbox vod', 'riven boxbox', 'challenger riven', 'riven montage', 'riven commentary', 'riven guide', 'riven gameplay', 'riven top', 'set 6 tft', 'set 6 gizmos and gadgets', 'tft augments', 'offlinetv tft', 'otv tft challenge', 'tft race', 'set 6']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135
BoxBox,Why Toast is the world's greatest shotcaller,https://www.youtube.com/watch?v=gDLKF2MUP3M,2021-11-11,154145,,"['boxbox', 'league of legends', 'league', 'lol', 'boxbox riven', 'boxbox league', 'funny', 'funny tft', 'boxbox otv', 'boxbox justfriends', 'boxbox cosplay', 'boxbox cosplaying', 'riven cosplay', 'challenger league', 'set 5 tft', 'set 5 tft reckoning', 'boxbox league of legends', 'riven outplays', 'challenger montage', 'boxbox twitch highlights', 'boxbox vod', 'riven boxbox', 'challenger riven', 'riven montage', 'riven combos', 'riven commentary', 'riven guide', 'riven highlights', 'riven combos boxbox', 'riven gameplay', 'riven top']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135
